COUNTY,NAME,latitude,longitude
CHARLOTTE,LITTLE GASPAR ISL,26.89985,-81.95031
CHARLOTTE,GASPARILLA ISLAND,26.8297885,-82.2909281
LEE,GASPAR ISL SRA,28.795334,-82.492301
LEE,CAYO COSTA SP,26.6854363,-82.2580847
PALM BEACH,HIGHLAND BCH,26.3995204,-80.0655977
BOWARD,BROWARD CO BCHS,28.75054,-82.5001
DADE,VIRGINIA,27.637003,-81.832431
BROWARD,JU LLOYD SRA,26.171291,-80.152506
LEE,BONITA BCH,26.4567825,-81.9562481
COLLIER,BAREFOOT BCH PR,26.3288,-81.8437
COLLIER,CLAM PASS PARK,26.2112185,-81.8112534
LEE,SANIBEL ISL E,28.868826,-82.488194
COLLIER,PARKSHORE BCH,28.789005,-81.139754
COLLIER,NAPLES BCH S,26.1314483,-81.8089038
COLLIER,KEEWAYDIN ISL N,28.822134,-81.341684
LEE,SANIBEL ISL W,28.868826,-82.488194
DADE,KEY BISCAYNE,25.6968351,-80.1635261
DADE,CP FLORIDA SRA,27.629864,-81.820501
COLLIER,MARCO ISL,28.758728,-81.310507
MONROE,ENP (SHARK PT),25.55731,-80.91705
MONROE,ENP (N MID CAPE CA,25.55731,-80.91705
MONROE,BIG PINE KEY,24.6698652,-81.353969
MONROE,ENP (E CAPE- MID C,25.55731,-80.91705
MONROE,ENP (E CAPE CANAL-,25.14235,-81.06619
MONROE,MATECUMBE UPPER,24.9142998,-80.6381183
MONROE,LONG KEY,24.819859,-80.821734
MONROE,EAST KEY,24.9992967,-80.6089518
MONROE,LOGGERHEAD KEY,24.63294,-82.92085
MONROE,BUSH KEY/LONG KEY,24.81986,-80.82173
NASSAU,AMELIA ISL,30.61058,-81.77142
ESCAMBIA,PERDIDO KEY SRA,30.317382,-87.424864
LEE,CAPTIVA ISL,28.868826,-82.488194
PINELLAS,CALADESI ISL SP,27.90268,-82.73955
ST LUCIE,N COUNTY BCHS,30.684787,-81.921757
MANATEE,ANNA MARIA ISL,28.098616,-82.585586
ST LUCIE,FT PRCE ILT SRA,30.722429,-81.777459
MARTIN,JUPITER ISL,30.441938,-84.27707
MONROE,FAT DEER KEY,24.73875,-81.00202
MONROE,KEY COLONY BCH,24.7211202,-81.0174537
SARASOTA,MANASOTA KEY,26.9847821,-82.3984294
PALM BEACH,BOYNTON BCH,26.5256179,-80.0666026
MONROE,BOCA GRANDE KEY,24.5326552,-82.0070462
MONROE,WOMAN KEY,24.525365,-81.9731071
PALM BEACH,GULFSTREAM PARK,26.5047942,-80.0514305
PALM BEACH,DELRAY BCH,26.4614625,-80.0728201
COLLIER,KEEWAYDIN ISL,28.822134,-81.341684
DADE,GOLDEN BCH,25.9650919,-80.1222671
MONROE,ENP (HIGHLAND BEAC,25.55731,-80.91705
MONROE,LITTLE CRAWL KEY,24.7428671,-80.9832667
DADE,BISCAYNE NATIONAL,27.637003,-81.832431
