WKT,COUNTY,NAME,created_user,created_date,last_edited_user,last_edited_date
"POLYGON Z ((-8999685.5641 3370653.7014 0,-8999539.944 3370605.3364 0,-8999468.2102 3370478.5733 0,-8999407.2428 3370350.3033 0,-8999339.4686 3370259.4507 0,-8999286.9513 3370184.3302 0,-8999207.7311 3370028.5935 0,-8999125.1511 3369875.9826 0,-8999057.4731 3369795.4612 0,-8999160.1209 3369627.7034 0,-8999319.949 3369873.0374 0,-8999336.6312 3370082.2581 0,-8999477.1511 3370156.7611 0,-8999477.7527 3370301.1882 0,-8999542.3579 3370435.3527 0,-8999592.0242 3370520.8594 0,-8999685.5641 3370653.7014 0))",VOLUSIA,NEW SMYRNA BCH,,,,
"POLYGON Z ((-8984173.0585 3343915.9993 0,-8984071.7822 3343957.2523 0,-8983978.1224 3343801.5532 0,-8983871.9148 3343787.0735 0,-8983868.7959 3343681.6956 0,-8983834.1434 3343575.4556 0,-8983697.978 3343533.4325 0,-8983705.9723 3343386.2488 0,-8983579.2429 3343290.2863 0,-8983489.8576 3343100.3965 0,-8983410.679 3342953.7483 0,-8983267.2329 3342767.1909 0,-8983144.3858 3342579.6318 0,-8982989.8996 3342504.4352 0,-8982982.1083 3342390.0043 0,-8982917.5593 3342273.283 0,-8982810.3465 3342226.9354 0,-8982795.9504 3342132.7712 0,-8982746.8663 3342017.3096 0,-8982647.2151 3341979.4087 0,-8982460.9004 3341720.0949 0,-8982431.7355 3341580.7954 0,-8982274.7856 3341454.2875 0,-8982272.6451 3341353.3944 0,-8982227.5812 3341250.1863 0,-8982080.3542 3341128.3809 0,-8982061.1394 3341022.9466 0,-8981993.0953 3340914.2697 0,-8981875.622 3340817.7708 0,-8981746.636 3340626.0517 0,-8981643.9117 3340543.5138 0,-8981643.7762 3340402.309 0,-8981507.7791 3340262.1482 0,-8981385.7008 3340180.6626 0,-8981351.3889 3340028.0309 0,-8981260.2031 3339984.2649 0,-8981228.4868 3339860.4235 0,-8981059.7817 3339721.3114 0,-8981027.6328 3339592.0839 0,-8980948.9764 3339454.2033 0,-8980841.0283 3339295.8636 0,-8981005.5663 3339383.0464 0,-8981072.9297 3339458.0344 0,-8981181.3332 3339607.2446 0,-8981286.8892 3339769.8856 0,-8981363.903 3339870.9305 0,-8981414.206 3339945.8905 0,-8981499.4747 3340063.6067 0,-8981588.821 3340170.9984 0,-8981645.3597 3340258.4168 0,-8981713.5798 3340352.6508 0,-8981768.4915 3340442.1805 0,-8981823.7936 3340517.2018 0,-8981872.5515 3340588.5626 0,-8981953.6112 3340710.0088 0,-8982024.4762 3340803.4725 0,-8982122.355 3340933.5407 0,-8982172.055 3341001.9865 0,-8982223.7751 3341091.4141 0,-8982307.5415 3341196.5982 0,-8982397.3756 3341344.232 0,-8982498.7864 3341508.272 0,-8982556.0962 3341607.1449 0,-8982756.4393 3341720.7453 0,-8982862.5138 3342000.9098 0,-8982956.7149 3342170.4005 0,-8983059.9944 3342195.1875 0,-8983098.0421 3342371.3986 0,-8983165.2755 3342457.819 0,-8983215.2746 3342531.5793 0,-8983276.1205 3342624.5556 0,-8983440.1127 3342699.2173 0,-8983412.5608 3342816.1885 0,-8983476.8708 3342899.4025 0,-8983525.7543 3342977.9124 0,-8983604.284 3343095.6674 0,-8983659.6884 3343178.8498 0,-8983724.6344 3343232.7753 0,-8983829.7812 3343412.931 0,-8983955.8181 3343511.1034 0,-8983983.0027 3343648.2117 0,-8984037.009 3343727.1423 0,-8984097.6422 3343817.9811 0,-8984173.0585 3343915.9993 0))",BREVARD,CANAVERAL NS,,,,
"POLYGON Z ((-8952601.0601 3225674.4651 0,-8952552.0415 3225582.5177 0,-8952494.0882 3225467.2021 0,-8952562.9837 3225417.6174 0,-8952752.8003 3225597.9525 0,-8952601.0601 3225674.4651 0))",INDIAN RIVER,WABASSO BCH,,,,
"POLYGON Z ((-9213050.5384 3217491.5609 0,-9213013.6946 3217403.2779 0,-9212968.1916 3217268.9387 0,-9212928.9878 3217175.7708 0,-9212881.7586 3217043.6432 0,-9212734.2472 3216791.9403 0,-9212658.7999 3216682.413 0,-9212611.4353 3216612.1031 0,-9212516.6149 3216506.4451 0,-9212452.7847 3216412.6428 0,-9212387.9012 3216348.0207 0,-9212327.6379 3216275.707 0,-9212241.2198 3216166.386 0,-9212375.8963 3216065.7388 0,-9212460.4943 3216169.8994 0,-9212577.5255 3216297.2313 0,-9212631.0915 3216370.1632 0,-9212688.9614 3216450.2461 0,-9212747.5528 3216510.2572 0,-9212794.4024 3216580.2084 0,-9212847.3792 3216649.2749 0,-9212998.8141 3216894.314 0,-9213037.2847 3216975.521 0,-9213086.3069 3217112.0081 0,-9213125.8193 3217205.9206 0,-9213170.0575 3217337.0909 0,-9213231.9543 3217491.5823 0,-9213140.7548 3217491.5948 0,-9213050.5384 3217491.5609 0))",PINELLAS,MID COUNTY BCHS,,,,
"POLYGON Z ((-9210051.4013 3201805.7111 0,-9210210.6352 3201777.9251 0,-9210259.6642 3201867.559 0,-9210368.7763 3202012.7749 0,-9210438.9463 3202107.0198 0,-9210503.6253 3202184.1347 0,-9210564.5859 3202242.7657 0,-9210622.5349 3202331.6211 0,-9210671.2785 3202431.5246 0,-9210705.816 3202515.2843 0,-9210740.3891 3202602.8453 0,-9210770.6219 3202683.8366 0,-9210825.0959 3202759.6067 0,-9210857.7869 3202859.3486 0,-9210908.9936 3202930.5253 0,-9210961.7546 3203000.0865 0,-9210981.2485 3203088.2561 0,-9211001.9263 3203172.9529 0,-9210907.7989 3203198.8014 0,-9210831.7054 3203141.5523 0,-9210801.7898 3203063.8247 0,-9210740.9143 3202996.3859 0,-9210693.7928 3202902.4279 0,-9210660.6885 3202819.7002 0,-9210627.6301 3202739.7728 0,-9210578.1501 3202652.0582 0,-9210532.9102 3202542.7338 0,-9210500.9252 3202461.2057 0,-9210450.7569 3202372.1505 0,-9210388.5622 3202278.412 0,-9210313.2132 3202207.0264 0,-9210253.2279 3202145.4939 0,-9210153.376 3202002.0391 0,-9210094.7122 3201921.945 0,-9210051.4013 3201805.7111 0))",PINELLAS,FT DESOTO CO PK,,,,
"POLYGON Z ((-9210835.406 3193354.7227 0,-9210875.3858 3193178.1625 0,-9210964.068 3193253.2671 0,-9210835.406 3193354.7227 0))",MANATEE,UNSURVEYED,,,,
"POLYGON Z ((-9180744.805 3139099.3812 0,-9180655.8546 3139099.4032 0,-9180590.6001 3139171.814 0,-9180540.1943 3139017.382 0,-9180487.3129 3138762.3297 0,-9180440.8104 3138496.9881 0,-9180387.4437 3138241.2555 0,-9180352.9036 3138061.0067 0,-9180323.3161 3137900.6434 0,-9180301.8378 3137807.3032 0,-9180304.1386 3137644.1649 0,-9180440.7491 3137663.3963 0,-9180470.0169 3137791.6212 0,-9180518.7572 3138029.4411 0,-9180552.7752 3138207.357 0,-9180606.2654 3138463.7728 0,-9180652.7692 3138729.2608 0,-9180704.4757 3138978.188 0,-9180744.805 3139099.3812 0))",SARASOTA,CASEY KEY,,,,
"POLYGON Z ((-8914253.1884 3118672.5153 0,-8914272.4699 3118771.0443 0,-8914327.1349 3118885.6188 0,-8914356.7272 3118969.1722 0,-8914399.5501 3119050.1785 0,-8914225.1621 3119079.2914 0,-8914182.8072 3118992.8594 0,-8914137.8968 3118887.1873 0,-8914107.4712 3118805.5619 0,-8914089.4151 3118719.4998 0,-8914253.1884 3118672.5153 0))",PALM BEACH,CORAL COVE PARK,,,,
"POLYGON Z ((-8914253.1884 3118672.5153 0,-8914089.4151 3118719.4998 0,-8914063.3838 3118592.9305 0,-8914054.4817 3118501.6295 0,-8914016.7398 3118393.5705 0,-8913994.4634 3118285.6364 0,-8913959.021 3118176.5273 0,-8913957.9926 3118069.2905 0,-8914072.0428 3117977.5601 0,-8914102.0682 3118071.7067 0,-8914133.7732 3118157.0567 0,-8914160.1211 3118254.5353 0,-8914179.6886 3118350.3971 0,-8914216.9854 3118454.532 0,-8914229.1534 3118562.4768 0,-8914253.1884 3118672.5153 0))",PALM BEACH,TEQUESTA BCHS,,,,
"POLYGON Z ((-8909168.2041 3097795.9304 0,-8908997.0017 3097786.5076 0,-8908997.4203 3097701.4308 0,-8909010.8848 3097597.2014 0,-8909024.8091 3097504.404 0,-8909195.7404 3097508.9933 0,-8909177.669 3097619.2975 0,-8909168.2041 3097795.9304 0))",PALM BEACH,OCEAN REEF PARK,,,,
