WKT,COUNTY,NAME,created_user,created_date,last_edited_user,last_edited_date
"POLYGON Z ((-9510044.371 3497074.1717 0,-9510039.4095 3497276.5665 0,-9509949.5956 3497303.4193 0,-9509834.3825 3497288.847 0,-9509743.9076 3497258.5126 0,-9509601.2358 3497214.0864 0,-9509488.9889 3497172.7767 0,-9509367.6956 3497116.4574 0,-9509274.2627 3497060.7443 0,-9509157.1824 3497013.5719 0,-9509025.9607 3496954.1793 0,-9508930.0431 3496894.4352 0,-9508820.3906 3496839.7226 0,-9508736.2337 3496777.4718 0,-9508604.3744 3496683.5721 0,-9508468.3217 3496614.9021 0,-9508378.1204 3496541.7218 0,-9508281.7075 3496501.0189 0,-9508205.523 3496460.4623 0,-9508103.1647 3496402.742 0,-9508032.0006 3496352.7221 0,-9507959.6415 3496300.7436 0,-9507881.3085 3496235.8827 0,-9507807.0925 3496180.2467 0,-9507696.3102 3496101.8775 0,-9507615.4038 3496016.8707 0,-9507502.3104 3495948.008 0,-9507386.6732 3495866.6595 0,-9507312.6297 3495815.8557 0,-9507185.5371 3495690.231 0,-9507094.3295 3495622.2546 0,-9506925.3491 3495489.58 0,-9507106.7378 3495415.4809 0,-9507195.7652 3495481.509 0,-9507294.1285 3495554.8818 0,-9507380.4125 3495640.6979 0,-9507468.765 3495713.6729 0,-9507558.8551 3495763.0594 0,-9507658.4892 3495842.9963 0,-9507768.0209 3495924.7156 0,-9507852.1832 3495993.263 0,-9507986.7299 3496098.1882 0,-9508067.5434 3496164.8964 0,-9508192.07 3496253.6669 0,-9508288.2195 3496307.8924 0,-9508411.2765 3496367.231 0,-9508515.3397 3496431.6417 0,-9508619.3647 3496499.2381 0,-9508767.4581 3496583.392 0,-9508841.1349 3496639.3343 0,-9509014.1418 3496742.503 0,-9509100.9235 3496797.6296 0,-9509223.5478 3496853.2138 0,-9509345.2649 3496902.2275 0,-9509445.014 3496960.9763 0,-9509552.195 3497011.0862 0,-9509658.4554 3497050.2265 0,-9509793.263 3497092.1259 0,-9509928.5761 3497130.2067 0,-9510044.371 3497074.1717 0))",GULF,MEXICO BEACH,,,,
"POLYGON Z ((-9503894.0903 3492080.9334 0,-9504048.4939 3492196.7865 0,-9504129.8709 3492329.7203 0,-9504188.554 3492398.403 0,-9504287.6979 3492477.3426 0,-9504356.4692 3492554.9543 0,-9504413.9446 3492632.1811 0,-9504508.9994 3492732.568 0,-9504571.501 3492826.0981 0,-9504647.3069 3492918.4556 0,-9504749.9245 3493035.0989 0,-9504821.3738 3493113.1937 0,-9504886.6629 3493191.7939 0,-9504946.2381 3493280.3542 0,-9505014.5749 3493357.3281 0,-9505098.2857 3493396.6696 0,-9505146.0996 3493468.5857 0,-9505200.3639 3493560.676 0,-9505293.9404 3493614.2377 0,-9505359.5299 3493690.5037 0,-9505417.183 3493760.7361 0,-9505531.2483 3493884.9116 0,-9505616.2197 3493970.3056 0,-9505734.4166 3494098.2076 0,-9505863.4782 3494206.3081 0,-9505929.7471 3494276.861 0,-9506046.6634 3494404.778 0,-9506109.2803 3494466.7084 0,-9506172.2855 3494541.2042 0,-9506295.8521 3494669.6153 0,-9506401.8493 3494733.0819 0,-9506492.7034 3494817.4617 0,-9506616.9859 3494933.4273 0,-9506687.506 3495024.5607 0,-9506746.6904 3495091.9339 0,-9506811.263 3495172.2904 0,-9506939.3649 3495257.5355 0,-9507022.0517 3495326.8214 0,-9506925.3491 3495489.58 0,-9506832.2223 3495393.9427 0,-9506764.5175 3495339.4633 0,-9506660.0724 3495261.5879 0,-9506555.0942 3495136.5079 0,-9506498.4793 3495060.4018 0,-9506428.9354 3495001.9616 0,-9506366.5577 3494936.4249 0,-9506236.309 3494838.0812 0,-9506106.2208 3494716.9083 0,-9506043.0565 3494656.8598 0,-9505984.8193 3494587.4466 0,-9505923.6573 3494527.0343 0,-9505850.5131 3494452.5005 0,-9505751.7725 3494339.2014 0,-9505683.6394 3494286.1672 0,-9505616.3063 3494225.1612 0,-9505525.8235 3494132.6046 0,-9505407.3039 3494006.1449 0,-9505342.2421 3493934.914 0,-9505222.8619 3493797.2035 0,-9505147.824 3493743.735 0,-9505069.9857 3493674.9611 0,-9505008.4137 3493592.4305 0,-9504943.1214 3493527.2881 0,-9504812.8719 3493391.2745 0,-9504750.5716 3493299.1985 0,-9504692.28 3493228.8973 0,-9504621.7115 3493151.7391 0,-9504516.4691 3493032.0901 0,-9504434.7203 3492932.6321 0,-9504377.974 3492846.2773 0,-9504284.7008 3492747.897 0,-9504223.7942 3492666.5749 0,-9504114.5012 3492556.2235 0,-9503996.0641 3492439.8897 0,-9503943.9345 3492368.5358 0,-9503902.0188 3492290.3199 0,-9503902.0139 3492203.1819 0,-9503894.0903 3492080.9334 0))",GULF,MEXICO BEACH,,,,
"POLYGON Z ((-9077091.5547 2981098.9069 0,-9077105.9842 2980981.9621 0,-9077134.3937 2980888.8097 0,-9077194.8784 2980788.4797 0,-9077326.4158 2980663.025 0,-9077454.5031 2980609.2604 0,-9077543.4502 2980576.9831 0,-9077650.1392 2980487.3854 0,-9077753.2799 2980412.1122 0,-9077856.4667 2980394.1657 0,-9077934.8076 2980440.7223 0,-9077831.7129 2980569.7441 0,-9077753.4107 2980602.0163 0,-9077689.4104 2980659.3458 0,-9077600.4623 2980727.4493 0,-9077522.2284 2980752.5422 0,-9077355.6174 2980782.0632 0,-9077298.0729 2980895.9168 0,-9077255.4721 2981003.4196 0,-9077205.7006 2981096.6027 0,-9077091.5547 2981098.9069 0))",COLLIER,10000 ISLS NWR,,,,
"POLYGON Z ((-9093679.5533 2981221.5675 0,-9093851.4374 2981209.4666 0,-9093862.1874 2981307.243 0,-9093679.5533 2981221.5675 0))",COLLIER,CP ROMANO,,,,
"POLYGON Z ((-9507029.4143 3472711.477 0,-9507180.4056 3472626.8058 0,-9507225.8927 3472746.8589 0,-9507253.4612 3472870.7135 0,-9507259.6013 3472967.1636 0,-9507294.0165 3473103.3764 0,-9507320.099 3473206.0922 0,-9507352.8647 3473346.6415 0,-9507393.397 3473482.4288 0,-9507416.2267 3473569.7407 0,-9507430.9396 3473665.8144 0,-9507457.7635 3473765.441 0,-9507480.3798 3473850.5239 0,-9507512.9801 3473979.5933 0,-9507526.9283 3474093.0163 0,-9507549.3731 3474179.5417 0,-9507572.527 3474271.9083 0,-9507601.603 3474396.5743 0,-9507641.8187 3474504.1166 0,-9507652.5053 3474598.0857 0,-9507681.9852 3474701.7208 0,-9507715.103 3474784.7399 0,-9507718.7829 3474888.7477 0,-9507745.8581 3474978.5569 0,-9507786.9411 3475097.2999 0,-9507814.9186 3475183.3333 0,-9507828.8445 3475320.959 0,-9507854.7124 3475437.2672 0,-9507877.6972 3475565.7623 0,-9507901.5207 3475689.9143 0,-9507931.6285 3475818.3871 0,-9507952.7527 3475912.8899 0,-9507977.7981 3476054.5797 0,-9507991.8341 3476148.7302 0,-9508002.2777 3476239.3069 0,-9508020.4805 3476331.0257 0,-9508055.2816 3476443.4355 0,-9508065.2575 3476531.0664 0,-9508085.8892 3476640.1573 0,-9508110.262 3476726.1098 0,-9508113.304 3476818.6499 0,-9508132.7627 3476912.6681 0,-9508172.6255 3477046.1908 0,-9508191.6835 3477131.5444 0,-9508205.013 3477246.2904 0,-9508242.8491 3477435.3687 0,-9508249.6258 3477545.4218 0,-9508276.8497 3477663.9878 0,-9508304.8721 3477776.3357 0,-9508316.4218 3477870.8307 0,-9508328.0825 3478011.3142 0,-9508340.9947 3478101.0051 0,-9508367.5982 3478224.6388 0,-9508390.904 3478345.7177 0,-9508408.071 3478432.3326 0,-9508444.746 3478544.3037 0,-9508449.1087 3478631.5028 0,-9508433.504 3478719.2162 0,-9508444.9024 3478821.8052 0,-9508468.2952 3478904.1671 0,-9508493.1888 3479056.4392 0,-9508516.8194 3479200.6991 0,-9508523.5544 3479287.0802 0,-9508532.7414 3479435.6938 0,-9508539.2857 3479571.3497 0,-9508559.9539 3479664.8065 0,-9508573.0751 3479749.3941 0,-9508584.9383 3479894.0059 0,-9508613.8663 3480046.8117 0,-9508615.1034 3480138.1856 0,-9508624.2151 3480229.0339 0,-9508634.4001 3480340.9475 0,-9508627.7551 3480481.6132 0,-9508648.7508 3480601.7937 0,-9508652.9416 3480716.6771 0,-9508677.0549 3480844.9862 0,-9508693.75 3480992.1686 0,-9508700.079 3481113.8299 0,-9508685.7541 3481209.4249 0,-9508703.6465 3481320.9177 0,-9508706.4216 3481462.2626 0,-9508723.8333 3481607.5692 0,-9508725.7848 3481719.95 0,-9508722.7523 3481814.7189 0,-9508728.1145 3481942.6684 0,-9508740.4978 3482059.8564 0,-9508718.1299 3482143.1271 0,-9508709.3806 3482235.5029 0,-9508708.7256 3482362.8823 0,-9508693.8877 3482516.0148 0,-9508692.0263 3482602.5183 0,-9508668.5703 3482744.256 0,-9508661.7045 3482831.1787 0,-9508647.0915 3482974.3514 0,-9508632.52 3483086.5752 0,-9508614.6617 3483208.8958 0,-9508603.2865 3483294.9456 0,-9508576.3273 3483406.6709 0,-9508568.8802 3483527.0563 0,-9508536.045 3483693.4995 0,-9508510.7949 3483799.4312 0,-9508491.2257 3483945.8355 0,-9508467.5358 3484093.9559 0,-9508419.3138 3484262.3642 0,-9508403.4488 3484390.6783 0,-9508361.0992 3484515.737 0,-9508320.2065 3484657.4884 0,-9508297.5515 3484762.5268 0,-9508275.7865 3484880.9304 0,-9508229.8235 3485024.1837 0,-9508206.5202 3485110.6671 0,-9508182.1416 3485199.0388 0,-9508162.7577 3485282.8071 0,-9508110.9491 3485444.1295 0,-9508073.4823 3485525.5115 0,-9508020.5566 3485647.1593 0,-9507957.3647 3485752.3107 0,-9507901.3009 3485837.7346 0,-9507849.2513 3485941.9636 0,-9507805.6884 3486032.8151 0,-9507680.5808 3486193.2425 0,-9507618.3918 3486277.3552 0,-9507527.6807 3486380.5136 0,-9507458.2429 3486457.4912 0,-9507356.9298 3486544.6664 0,-9507281.702 3486589.8231 0,-9507181.5241 3486680.5849 0,-9507108.4114 3486750.5942 0,-9507008.835 3486819.5978 0,-9506934.8424 3486867.2026 0,-9506826.602 3486952.6368 0,-9506725.6259 3487028.5144 0,-9506665.7019 3487089.771 0,-9506573.7997 3487162.305 0,-9506456.0637 3487252.8295 0,-9506346.6472 3487310.0248 0,-9506210.6323 3487414.6446 0,-9506090.3833 3487493.9979 0,-9506002.821 3487532.7157 0,-9505893.0538 3487535.683 0,-9505768.2828 3487524.3806 0,-9505674.7048 3487515.9078 0,-9505532.6626 3487572.8033 0,-9505634.3798 3487361.8998 0,-9505802.4607 3487386.0147 0,-9505883.5053 3487361.2423 0,-9505997.2183 3487347.8091 0,-9506070.9874 3487289.9405 0,-9506191.1122 3487221.5039 0,-9506305.3462 3487133.8448 0,-9506413.934 3487073.7043 0,-9506518.6082 3486985.2626 0,-9506603.7314 3486905.2282 0,-9506668.815 3486848.8403 0,-9506780.4425 3486768.6367 0,-9506848.7211 3486714.0122 0,-9506994.0925 3486620.1986 0,-9507059.0688 3486557.9568 0,-9507127.5847 3486489.4602 0,-9507250.8511 3486407.3982 0,-9507333.6929 3486336.919 0,-9507398.3884 3486265.2072 0,-9507481.6015 3486171.0221 0,-9507541.8364 3486089.6045 0,-9507614.4596 3485992.074 0,-9507694.0407 3485864.8334 0,-9507741.9606 3485769.7466 0,-9507783.3647 3485695.196 0,-9507848.134 3485607.23 0,-9507897.8637 3485501.9315 0,-9507949.059 3485382.6736 0,-9507977.8376 3485300.3317 0,-9508013.8934 3485158.3453 0,-9508039.5236 3485065.2616 0,-9508063.1361 3484977.6197 0,-9508106.7785 3484842.9189 0,-9508127.6034 3484729.7932 0,-9508151.3522 3484619.4575 0,-9508196.6743 3484461.5543 0,-9508233.4203 3484357.1524 0,-9508247.9036 3484236.8107 0,-9508283.676 3484118.4609 0,-9508311.1326 3483993.7103 0,-9508328.6203 3483851.8948 0,-9508347.3507 3483711.3357 0,-9508391.7336 3483569.2709 0,-9508401.9852 3483457.604 0,-9508411.1909 3483332.1986 0,-9508442.4866 3483191.3682 0,-9508461.2983 3483061.3848 0,-9508474.7477 3482958.3418 0,-9508489.3471 3482815.4726 0,-9508496.4329 3482726.218 0,-9508519.1519 3482592.5768 0,-9508521.1918 3482505.0675 0,-9508527.3879 3482400.8815 0,-9508540.7675 3482301.7464 0,-9508528.7797 3482217.2795 0,-9508542.2821 3482115.6824 0,-9508563.4031 3482017.54 0,-9508552.2596 3481873.1789 0,-9508554.752 3481762.5258 0,-9508551.8113 3481626.3875 0,-9508541.6496 3481541.2415 0,-9508532.659 3481401.6338 0,-9508526.4935 3481292.4671 0,-9508514.4567 3481164.0709 0,-9508526.6759 3481072.6291 0,-9508517.651 3480941.5303 0,-9508493.7147 3480831.8526 0,-9508481.054 3480736.3629 0,-9508477.9189 3480632.6592 0,-9508455.3121 3480497.1006 0,-9508457.5637 3480395.0791 0,-9508451.9946 3480245.5222 0,-9508442.4821 3480150.9288 0,-9508429.9036 3480006.4546 0,-9508414.1173 3479921.7632 0,-9508404.7747 3479820.5237 0,-9508390.445 3479699.63 0,-9508368.9 3479602.1304 0,-9508360.1321 3479447.0718 0,-9508350.9758 3479299.3286 0,-9508337.3818 3479141.9434 0,-9508304.5426 3479008.5448 0,-9508278.36 3478868.9363 0,-9508261.0121 3478776.3937 0,-9508268.1333 3478658.9369 0,-9508265.5961 3478537.9758 0,-9508227.037 3478441.211 0,-9508210.8367 3478313.4793 0,-9508183.0655 3478201.6345 0,-9508159.9648 3478081.7851 0,-9508152.5784 3477949.7715 0,-9508136.6461 3477817.2706 0,-9508107.663 3477700.1051 0,-9508079.5761 3477578.6515 0,-9508072.2838 3477464.7039 0,-9508047.0906 3477341.7806 0,-9508028.4936 3477220.6571 0,-9508003.7047 3477083.4378 0,-9507973.4887 3476980.511 0,-9507948.0708 3476894.0005 0,-9507938.5324 3476775.1628 0,-9507909.3212 3476669.1222 0,-9507892.2459 3476533.8272 0,-9507872.2462 3476433.6084 0,-9507842.3151 3476330.6077 0,-9507820.5218 3476172.5024 0,-9507794.2006 3476026.4905 0,-9507762.4636 3475854.4947 0,-9507733.0479 3475730.2534 0,-9507711.957 3475615.3262 0,-9507690.8253 3475528.2647 0,-9507675.3403 3475417.8181 0,-9507639.4522 3475279.1555 0,-9507626.8502 3475163.0373 0,-9507583.8639 3475039.6206 0,-9507553.5754 3474959.5199 0,-9507545.6609 3474861.7685 0,-9507526.0655 3474776.7199 0,-9507483.4404 3474673.2341 0,-9507473.4747 3474544.5988 0,-9507438.8914 3474455.4649 0,-9507403.9394 3474310.6693 0,-9507381.8951 3474222.7564 0,-9507358.6802 3474133.2108 0,-9507341.2483 3474035.5745 0,-9507324.8956 3473949.7562 0,-9507290.3287 3473808.7094 0,-9507200.4382 3473654.5928 0,-9507134.6348 3473513.9056 0,-9507184.2271 3473385.038 0,-9507152.1765 3473247.4321 0,-9507129.7958 3473157.8837 0,-9507100.5159 3473076.1932 0,-9507087.5188 3472984.5896 0,-9507061.2474 3472800.2143 0,-9507029.4143 3472711.477 0))",GULF,ST JOE PENIN SP,,,,
"POLYGON Z ((-9499349.4793 3483940.1196 0,-9499457.5056 3483916.8232 0,-9499539.4498 3483983.1418 0,-9499589.1899 3484137.4577 0,-9499433.7924 3484010.5237 0,-9499349.4793 3483940.1196 0))",GULF,MEXICO BCH,,,,
"POLYGON Z ((-9507029.4143 3472711.477 0,-9506955.5258 3472515.2337 0,-9506945.2808 3472424.6815 0,-9506913.5628 3472301.0106 0,-9506866.6584 3472192.1803 0,-9506850.9263 3472094.0286 0,-9506824.1302 3471961.2212 0,-9506774.4664 3471810.414 0,-9506746.1758 3471688.9429 0,-9506702.7789 3471584.3353 0,-9506623.2392 3471456.826 0,-9506822.754 3471456.8645 0,-9506881.3794 3471558.6289 0,-9506933.1573 3471694.3264 0,-9506963.3923 3471837.1968 0,-9506991.7187 3471918.3794 0,-9507021.2724 3472064.3636 0,-9507044.8985 3472178.9648 0,-9507101.9613 3472337.2799 0,-9507118.4504 3472453.6681 0,-9507180.4056 3472626.8058 0,-9507029.4143 3472711.477 0))",GULF,CAPE SAN BLAS,,,,
"POLYGON Z ((-9434327.3026 3466604.6156 0,-9434417.5269 3466490.1413 0,-9434541.4225 3466365.3425 0,-9434624.7361 3466282.2146 0,-9434757.854 3466137.9724 0,-9434874.1628 3466017.6275 0,-9435040.6665 3465857.3688 0,-9435158.7633 3465746.1864 0,-9435306.9747 3465577.7376 0,-9435429.4225 3465453.4594 0,-9435541.479 3465349.5204 0,-9435670.9788 3465209.331 0,-9435804.0196 3465092.7228 0,-9435892.2439 3464991.1634 0,-9435994.8883 3464895.6612 0,-9436124.2108 3464798.3285 0,-9436211.9367 3464714.4553 0,-9436312.6046 3464620.5348 0,-9436457.0984 3464526.2081 0,-9436581.7364 3464414.2657 0,-9436685.5935 3464354.233 0,-9436799.0545 3464281.677 0,-9436915.8835 3464195.521 0,-9437008.3256 3464136.7311 0,-9437113.3272 3464073.2286 0,-9437248.4674 3464003.0491 0,-9437372.7179 3463924.2952 0,-9437522.5702 3463840.9536 0,-9437626.8896 3463792.6949 0,-9437745.7039 3463720.5164 0,-9437856.0026 3463671.916 0,-9437929.7338 3463628.2371 0,-9438187.3803 3463468.904 0,-9438402.1784 3463345.4873 0,-9438598.9435 3463245.0269 0,-9438742.732 3463154.3027 0,-9438905.3884 3463039.3656 0,-9439092.2339 3462938.4727 0,-9439181.9745 3462899.6597 0,-9439297.2019 3462826.8531 0,-9439370.102 3462983.859 0,-9439286.8346 3463037.2677 0,-9439166.9588 3463094.8076 0,-9439000.6464 3463183.8844 0,-9438840.4882 3463297.0871 0,-9438687.6764 3463393.6389 0,-9438486.3024 3463496.7219 0,-9438274.2292 3463618.5356 0,-9438062.6097 3463747.0008 0,-9437975.7179 3463810.8098 0,-9437857.2232 3463861.8466 0,-9437712.2681 3463943.2699 0,-9437603.5653 3463993.9592 0,-9437455.875 3464076.1166 0,-9437349.6545 3464143.6575 0,-9437200.2065 3464222.9497 0,-9437098.3818 3464284.4858 0,-9437015.8643 3464336.7279 0,-9436899.2231 3464422.8089 0,-9436776.2687 3464501.7048 0,-9436689.7965 3464549.7912 0,-9436567.204 3464659.8507 0,-9436424.6443 3464752.6545 0,-9436330.0563 3464840.8274 0,-9436239.722 3464927.1771 0,-9436108.7473 3465026.0351 0,-9436019.4621 3465108.4821 0,-9435930.4504 3465210.8993 0,-9435794.6527 3465330.4205 0,-9435666.0339 3465469.6047 0,-9435550.9758 3465576.5904 0,-9435434.9614 3465694.1169 0,-9435285.6818 3465863.7857 0,-9435160.0236 3465982.5257 0,-9434994.8715 3466141.5686 0,-9434893.4517 3466245.5013 0,-9434808.4324 3466361.2497 0,-9434739.7782 3466411.8318 0,-9434669.6726 3466481.451 0,-9434598.227 3466563.6378 0,-9434517.4816 3466644.0847 0,-9434462.3831 3466720.0247 0,-9434327.289 3466823.1798 0,-9434327.3117 3466711.8448 0,-9434327.3026 3466604.6156 0))",FRANKLIN,ST GEO ISL SP,,,,
"POLYGON Z ((-9006863.554 3384748.5739 0,-9006749.122 3384751.4348 0,-9006753.4941 3384553.5691 0,-9006655.2016 3384449.4829 0,-9006660.1652 3384309.005 0,-9006580.3245 3384254.4999 0,-9006568.3171 3383967.2474 0,-9006526.2731 3383779.0544 0,-9006405.601 3383454.5166 0,-9006277.6023 3383078.8101 0,-9006202.5129 3382841.1758 0,-9006039.0135 3382431.8523 0,-9005843.1657 3382004.6421 0,-9005509.1781 3381280.9828 0,-9005313.4002 3380829.9384 0,-9005223.2798 3380656.1343 0,-9005133.5718 3380468.2674 0,-9005060.8727 3380301.8592 0,-9004823.9932 3379823.8548 0,-9004402.0574 3379006.9584 0,-9004072.9882 3378405.9787 0,-9003917.2057 3378089.607 0,-9003746.775 3377783.7106 0,-9003457.7583 3377265.3958 0,-9003222.0465 3376819.7593 0,-9002928.8974 3376302.5123 0,-9002638.5605 3375790.6667 0,-9003003.5313 3376260.1293 0,-9003296.6842 3376777.2979 0,-9003533.2448 3377224.3058 0,-9003821.7771 3377741.816 0,-9003992.2085 3378047.7292 0,-9004149.2119 3378366.3282 0,-9004477.3308 3378965.6454 0,-9004900.2376 3379784.3463 0,-9005137.7823 3380263.5861 0,-9005211.6397 3380432.4655 0,-9005300.1177 3380617.7822 0,-9005389.6319 3380790.3486 0,-9005587.5919 3381245.7489 0,-9005921.2611 3381968.7572 0,-9006117.0921 3382395.9647 0,-9006282.2953 3382809.2757 0,-9006359.1922 3383051.9727 0,-9006486.5122 3383425.6307 0,-9006606.802 3383749.0108 0,-9006652.0174 3383947.7711 0,-9006703.7683 3384162.9577 0,-9006741.2437 3384239.1236 0,-9006791.7331 3384359.3385 0,-9006836.8862 3384506.0374 0,-9006866.3104 3384612.1916 0,-9006863.554 3384748.5739 0))",VOLUSIA,NEW SMYRNA BCH,,,,
"POLYGON Z ((-9506822.754 3471456.8645 0,-9506623.2392 3471456.826 0,-9506614.4149 3471368.063 0,-9506584.4417 3471286.2587 0,-9506566.7987 3471190.8795 0,-9506554.5266 3471106.1314 0,-9506532.1471 3471022.7286 0,-9506497.2135 3470914.6995 0,-9506463.742 3470790.6275 0,-9506429.6117 3470698.4101 0,-9506405.0087 3470613.6538 0,-9506369.6971 3470522.1132 0,-9506336.4135 3470427.8444 0,-9506311.3727 3470341.0135 0,-9506283.2738 3470222.5245 0,-9506250.1445 3470140.1196 0,-9506226.95 3470054.4806 0,-9506201.5752 3469969.7372 0,-9506165.0677 3469890.759 0,-9506130.1853 3469810.1735 0,-9506096.2693 3469713.1165 0,-9506068.1168 3469624.7361 0,-9506023.4377 3469546.0605 0,-9505983.2164 3469445.69 0,-9505959.7391 3469359.8505 0,-9505908.5964 3469253.7587 0,-9505871.5533 3469108.5336 0,-9505835.1995 3469021.0446 0,-9505798.0222 3468898.9808 0,-9505769.2432 3468806.6398 0,-9505713.428 3468669.294 0,-9505695.175 3468584.3275 0,-9505658.9758 3468486.8698 0,-9505619.6368 3468409.029 0,-9505575.2929 3468287.4112 0,-9505519.5725 3468158.1474 0,-9505475.7478 3468047.2902 0,-9505457.5119 3467950.2011 0,-9505417.5485 3467853.5281 0,-9505384.36 3467724.5817 0,-9505354.7768 3467639.1815 0,-9505295.486 3467490.8388 0,-9505240.7714 3467326.1964 0,-9505223.524 3467229.4798 0,-9505190.9187 3467135.3773 0,-9505129.2678 3466968.1691 0,-9505072.0555 3466854.8617 0,-9505022.0188 3466739.9043 0,-9504987.9618 3466650.8152 0,-9504959.08 3466570.313 0,-9504926.5989 3466466.7746 0,-9504884.9472 3466350.1372 0,-9504874.0949 3466264.4593 0,-9504853.9898 3466180.2668 0,-9504812.4205 3466069.173 0,-9504769.2757 3465952.1965 0,-9504732.9445 3465868.7557 0,-9504692.5493 3465783.129 0,-9504653.7809 3465690.997 0,-9504616.1604 3465606.9291 0,-9504571.7407 3465495.5314 0,-9504513.6303 3465348.2004 0,-9504465.0766 3465256.9563 0,-9504423.2388 3465160.1715 0,-9504389.4591 3465046.1992 0,-9504318.1378 3464920.8089 0,-9504282.7407 3464839.3871 0,-9504239.3611 3464753.0811 0,-9504190.3984 3464670.5072 0,-9504138.8824 3464589.1348 0,-9504106.2539 3464488.3552 0,-9504063.5318 3464410.0437 0,-9504018.7201 3464301.6854 0,-9503971.441 3464215.7853 0,-9503913.2505 3464114.4808 0,-9503904.7461 3464013.5108 0,-9503904.008 3463925.1445 0,-9503901.9755 3463681.4739 0,-9503994.9147 3463854.0043 0,-9504028.7295 3463946.2554 0,-9504063.8984 3464029.5467 0,-9504112.0613 3464115.1516 0,-9504169.664 3464212.6984 0,-9504204.8558 3464302.9884 0,-9504245.4161 3464380.3773 0,-9504280.8336 3464482.3538 0,-9504328.6798 3464566.376 0,-9504379.8121 3464643.7235 0,-9504428.7655 3464732.1218 0,-9504463.5798 3464817.0858 0,-9504507.0697 3464906.3597 0,-9504563.0318 3465013.6509 0,-9504588.2272 3465102.6206 0,-9504629.4676 3465196.5364 0,-9504670.1139 3465274.4205 0,-9504709.6478 3465389.5023 0,-9504750.4003 3465485.2222 0,-9504800.2309 3465585.7395 0,-9504834.6044 3465683.1968 0,-9504872.8458 3465763.5694 0,-9504908.1621 3465843.9942 0,-9504949.8179 3465942.582 0,-9504994.0064 3466056.5387 0,-9505022.7827 3466142.8645 0,-9505044.7014 3466235.4913 0,-9505063.0722 3466348.4169 0,-9505103.9237 3466437.3515 0,-9505131.5532 3466520.6095 0,-9505157.0194 3466614.6365 0,-9505205.1789 3466728.8189 0,-9505250.1429 3466829.0402 0,-9505335.1709 3467026.7405 0,-9505371.7504 3467108.1608 0,-9505396.7124 3467205.8107 0,-9505434.6107 3467372.5702 0,-9505470.0123 3467466.6424 0,-9505512.4153 3467550.3074 0,-9505542.4627 3467638.2931 0,-9505566.6344 3467764.5213 0,-9505617.3561 3467884.2459 0,-9505644.0984 3468007.2692 0,-9505716.256 3468172.5923 0,-9505755.1357 3468283.4301 0,-9505794.091 3468377.4494 0,-9505844.0688 3468469.3392 0,-9505868.5266 3468568.6508 0,-9505896.5848 3468664.0439 0,-9505937.3853 3468764.1179 0,-9505964.198 3468851.1264 0,-9505987.7404 3468936.1102 0,-9506025.9404 3469021.4773 0,-9506055.3385 3469146.7326 0,-9506089.4497 3469226.093 0,-9506126.5306 3469314.2368 0,-9506165.7882 3469441.2373 0,-9506221.256 3469543.8183 0,-9506263.4397 3469668.9335 0,-9506295.6449 3469754.8838 0,-9506347.2958 3469873.7632 0,-9506380.0411 3469953.9377 0,-9506403.2515 3470044.2491 0,-9506432.0912 3470128.0073 0,-9506458.5001 3470247.2522 0,-9506493.1014 3470354.4656 0,-9506523.8279 3470442.9725 0,-9506566.5424 3470551.1171 0,-9506593.748 3470635.4835 0,-9506624.6201 3470726.7343 0,-9506653.448 3470839.2208 0,-9506678.5941 3470921.7391 0,-9506715.0677 3471028.8799 0,-9506730.6773 3471113.0785 0,-9506744.8268 3471210.0672 0,-9506777.3086 3471304.8422 0,-9506822.754 3471456.8645 0))",GULF,CAPE SAN BLAS,,,,
"POLYGON Z ((-9503904.008 3463925.1445 0,-9503766.5278 3463793.7882 0,-9503717.6986 3463702.2914 0,-9503674.4259 3463604.587 0,-9503608.2521 3463479.1504 0,-9503554.8262 3463395.0629 0,-9503499.4681 3463315.3847 0,-9503453.3118 3463222.9152 0,-9503383.0895 3463087.7877 0,-9503322.2613 3462986.1034 0,-9503217.103 3462855.9047 0,-9503162.9441 3462769.9561 0,-9503111.1953 3462690.2403 0,-9503065.5684 3462604.2544 0,-9503006.3126 3462497.582 0,-9502921.9844 3462364.4888 0,-9503094.9389 3462314.6708 0,-9503145.4069 3462394.7578 0,-9503196.6713 3462466.6107 0,-9503258.2159 3462599.1626 0,-9503308.237 3462676.2114 0,-9503356.5069 3462753.5825 0,-9503414.3018 3462828.6165 0,-9503533.2676 3463002.0773 0,-9503587.2729 3463112.9895 0,-9503643.2851 3463219.2849 0,-9503697.6855 3463297.6678 0,-9503754.5487 3463386.9918 0,-9503802.7111 3463467.8278 0,-9503901.9755 3463681.4739 0,-9503904.008 3463925.1445 0))",GULF,CAPE SAN BLAS,,,,
